0	1.5171	0	-0.0533	0	-0.9573	0	2.1503	0	-2.2317	0	-0.5804	0	0.379	0
0.001992	1.5171	-0.0122859	-0.0533	0.0183311	-0.9573	0.0194879	2.1503	0.0181524	-2.2317	0.000524626	-0.5804	-0.0205495	0.379	-0.000815588
0.00398399	1.51705	-0.0237503	-0.0532261	0.0356651	-0.957221	0.0379255	2.15037	0.0351294	-2.2317	0.000950953	-0.580483	-0.0396928	0.378997	-0.00146216
0.00597599	1.51695	-0.0344257	-0.0530823	0.052069	-0.957068	0.0553707	2.15051	0.050979	-2.23169	0.00126522	-0.580643	-0.0574665	0.378991	-0.0019269
0.00796798	1.51682	-0.0443533	-0.0528723	0.0675803	-0.956845	0.0718574	2.15072	0.065755	-2.23169	0.00147203	-0.580875	-0.0739183	0.378983	-0.0022285
0.00995998	1.51664	-0.0535742	-0.0525998	0.0822281	-0.956555	0.0874146	2.15099	0.0795094	-2.23168	0.00158029	-0.581173	-0.0891056	0.378974	-0.00238727
0.011952	1.51642	-0.0621236	-0.0522683	0.0960451	-0.956203	0.102083	2.15131	0.0922876	-2.23168	0.00159536	-0.581532	-0.103104	0.378964	-0.00240197
0.013944	1.51617	-0.07003	-0.051881	0.10907	-0.955791	0.115916	2.15168	0.10413	-2.23167	0.00151762	-0.581948	-0.115993	0.378955	-0.00225243
0.015936	1.51589	-0.0773196	-0.0514412	0.121339	-0.955324	0.128963	2.1521	0.11508	-2.23166	0.00135273	-0.582415	-0.127839	0.378946	-0.00192743
0.017928	1.51558	-0.0840183	-0.0509519	0.132877	-0.954804	0.141268	2.15256	0.125189	-2.23166	0.00111663	-0.582931	-0.138692	0.378938	-0.00143606
0.01992	1.51524	-0.0901536	-0.0504162	0.143712	-0.954234	0.152864	2.15307	0.134502	-2.23165	0.00082275	-0.58349	-0.148596	0.378932	-0.000793434
0.021912	1.51487	-0.0957588	-0.0498367	0.153875	-0.953618	0.163771	2.15361	0.143062	-2.23165	0.00047676	-0.584089	-0.157593	0.378929	-2.26257e-05
0.023904	1.51449	-0.100869	-0.0492162	0.163399	-0.952958	0.174001	2.15419	0.1509	-2.23165	7.57255e-05	-0.584725	-0.165732	0.378929	0.000857803
0.0258959	1.51408	-0.10551	-0.0485574	0.172315	-0.952256	0.183581	2.15479	0.158049	-2.23165	-0.000386441	-0.585393	-0.173064	0.378932	0.00184943
0.0278879	1.51366	-0.1097	-0.0478626	0.180649	-0.951516	0.192557	2.15543	0.16454	-2.23165	-0.000914771	-0.586091	-0.17965	0.37894	0.00297506
0.0298799	1.51321	-0.113452	-0.0471341	0.188426	-0.950739	0.200974	2.1561	0.170404	-2.23165	-0.0015102	-0.586815	-0.185541	0.378952	0.00426034
0.0318719	1.51276	-0.116792	-0.0463744	0.195666	-0.949929	0.20886	2.15678	0.175675	-2.23166	-0.00215737	-0.587563	-0.190767	0.378969	0.00570055
0.0338639	1.51229	-0.119746	-0.0455854	0.202391	-0.949087	0.216229	2.15749	0.180386	-2.23167	-0.002835	-0.588333	-0.195347	0.378992	0.00727203
0.0358559	1.5118	-0.122341	-0.0447693	0.208625	-0.948215	0.223096	2.15822	0.184568	-2.23168	-0.00353568	-0.58912	-0.199299	0.379021	0.00894502
0.0378479	1.51131	-0.124596	-0.0439281	0.21439	-0.947315	0.229482	2.15896	0.18825	-2.23169	-0.00426862	-0.589924	-0.202656	0.379057	0.0106825
0.0398399	1.51081	-0.126527	-0.0430636	0.219713	-0.94639	0.235414	2.15972	0.191456	-2.23171	-0.00504269	-0.590741	-0.20545	0.3791	0.0124556
