-3.06171	-1.35471	-4.03166	3.21609	-0.0227531	-5.33984	-1.38881
-3.03979	-1.27298	-3.98498	3.19299	-0.0874888	-5.25399	-1.30982
-3.02198	-1.20861	-3.94418	3.17095	-0.143354	-5.17848	-1.23419
-2.99984	-1.14809	-3.89193	3.14893	-0.194576	-5.11594	-1.14463
-2.97713	-1.08956	-3.84142	3.12908	-0.245053	-5.05604	-1.05168
-2.95591	-1.03014	-3.79419	3.10507	-0.306811	-5.00658	-0.93138
-2.93329	-0.973416	-3.73935	3.08085	-0.370262	-4.95633	-0.782048
-2.91425	-0.918869	-3.68777	3.05741	-0.425778	-4.88931	-0.656899
-2.89018	-0.866197	-3.62644	3.02815	-0.476874	-4.82465	-0.564653
-2.85957	-0.817722	-3.55412	2.99331	-0.517287	-4.76537	-0.494374
-2.82856	-0.770376	-3.48327	2.95914	-0.561957	-4.69562	-0.450263
-2.79804	-0.724672	-3.41367	2.92671	-0.605406	-4.60291	-0.430057
-2.76266	-0.681149	-3.33916	2.89431	-0.652011	-4.49604	-0.429782
-2.72017	-0.641572	-3.25176	2.86039	-0.685631	-4.38041	-0.452196
-2.67563	-0.603732	-3.15789	2.83326	-0.729538	-4.26662	-0.476568
-2.62768	-0.568702	-3.06052	2.80872	-0.775784	-4.14725	-0.512942
-2.5737	-0.537995	-2.9603	2.77778	-0.810317	-4.01897	-0.566668
-2.51597	-0.507724	-2.85582	2.75242	-0.857165	-3.86771	-0.612657
-2.45285	-0.478754	-2.74322	2.72844	-0.910202	-3.71777	-0.643198
-2.38533	-0.453954	-2.62742	2.70459	-0.964475	-3.5724	-0.681444
-2.31946	-0.431517	-2.51217	2.67749	-1.00885	-3.44429	-0.738256
-2.25236	-0.410376	-2.39858	2.65334	-1.059	-3.31763	-0.77395
-2.18199	-0.38912	-2.27952	2.63001	-1.12671	-3.18998	-0.764097
-2.1085	-0.36854	-2.1583	2.60252	-1.21479	-3.06125	-0.713385
-2.03224	-0.348401	-2.03681	2.57165	-1.30192	-2.93025	-0.633533
-1.95665	-0.330028	-1.91899	2.5446	-1.39232	-2.79937	-0.520518
-1.87995	-0.3108	-1.8005	2.51387	-1.4906	-2.68343	-0.361318
-1.80533	-0.290352	-1.68313	2.47997	-1.59758	-2.58221	-0.171471
-1.72888	-0.270241	-1.56405	2.44454	-1.70551	-2.49865	0.0388156
-1.64953	-0.250024	-1.44774	2.40791	-1.80744	-2.4194	0.248848
-1.56385	-0.228082	-1.32736	2.36695	-1.8973	-2.3336	0.442179
-1.4736	-0.204087	-1.20443	2.32599	-1.97857	-2.24696	0.622176
-1.38331	-0.179285	-1.08607	2.2886	-2.04484	-2.16677	0.782739
-1.29135	-0.154039	-0.972055	2.24755	-2.09432	-2.08464	0.914489
-1.19611	-0.127614	-0.851093	2.20239	-2.13172	-2.00207	1.02716
-1.09471	-0.0987011	-0.7199	2.15251	-2.15696	-1.91827	1.11864
-0.986423	-0.0669218	-0.586035	2.09626	-2.17638	-1.83221	1.18903
-0.876176	-0.0331782	-0.456498	2.03515	-2.18749	-1.75764	1.22971
-0.769531	-0.000874311	-0.330448	1.97775	-2.18714	-1.69795	1.23831
-0.666231	0.0278961	-0.203275	1.92542	-2.19473	-1.65004	1.22905
-0.56118	0.0585757	-0.0728175	1.86488	-2.20042	-1.61052	1.20969
-0.438995	0.097521	0.072249	1.77016	-2.18986	-1.5692	1.1709
-0.292304	0.144544	0.24023	1.62835	-2.16891	-1.51771	1.12124
-0.141046	0.195174	0.413104	1.46381	-2.14345	-1.47714	1.06439
-0.0263327	0.234665	0.549997	1.34496	-2.13929	-1.47576	1.01874
0.0219179	0.250129	0.619448	1.33615	-2.18371	-1.52006	1.01895
0.0269938	0.249436	0.643683	1.39681	-2.2575	-1.58771	1.05508
0.0905393	0.271638	0.721144	1.33996	-2.27979	-1.60963	1.07232
0.338449	0.363501	0.973807	0.941581	-2.16028	-1.5144	1.02286
0.784125	0.530415	1.41602	0.182797	-1.89705	-1.30363	0.909671
